Time (UTC)	prs(m)	rad(m)
2019-11-28 00:00:29	2.548	3.815
2019-11-28 00:01:29	2.53	3.832
2019-11-28 00:02:29	2.565	3.849
2019-11-28 00:03:29	2.606	3.859
2019-11-28 00:04:28	2.587	3.861
2019-11-28 00:05:28	2.595	3.868
2019-11-28 00:06:28	2.572	3.872
2019-11-28 00:07:29	2.575	3.866
2019-11-28 00:08:28	2.611	3.872
2019-11-28 00:09:29	2.603	3.884
2019-11-28 00:10:28	2.615	3.892
2019-11-28 00:11:28	2.647	3.9
2019-11-28 00:12:28	2.612	3.902
2019-11-28 00:13:28	2.639	3.912
2019-11-28 00:14:28	2.609	3.921
2019-11-28 00:15:28	2.668	3.926
2019-11-28 00:16:28	2.63	3.937
2019-11-28 00:17:28	2.617	3.93
2019-11-28 00:18:28	2.675	3.919
2019-11-28 00:19:28	2.64	3.928
2019-11-28 00:20:28	2.661	3.931
2019-11-28 00:21:28	2.692	3.931
2019-11-28 00:22:28	2.692	3.946
2019-11-28 00:23:28	2.678	3.956
2019-11-28 00:24:28	2.705	3.96
2019-11-28 00:25:28	2.69	3.962
2019-11-28 00:26:28	2.682	3.971
2019-11-28 00:27:28	2.642	3.973
2019-11-28 00:28:28	2.718	3.966
2019-11-28 00:29:28	2.739	3.976
2019-11-28 00:30:28	2.675	3.995
2019-11-28 00:31:28	2.75	4.001
2019-11-28 00:32:30	2.752	4.011
2019-11-28 00:33:28	2.709	4.014
2019-11-28 00:34:28	2.757	4.004
2019-11-28 00:35:28	2.788	4.005
2019-11-28 00:36:28	2.791	4.019
2019-11-28 00:37:28	2.738	4.036
2019-11-28 00:38:28	2.753	4.022
2019-11-28 00:39:28	2.804	4.029
2019-11-28 00:40:28	2.707	4.054
2019-11-28 00:41:28	2.76	4.041
2019-11-28 00:42:28	2.807	4.046
2019-11-28 00:43:28	2.792	4.061
2019-11-28 00:44:28	2.821	4.057
2019-11-28 00:45:28	2.815	4.053
2019-11-28 00:46:28	2.794	4.071
2019-11-28 00:47:28	2.804	4.081
2019-11-28 00:48:28	2.853	4.078
2019-11-28 00:49:28	2.844	4.085
2019-11-28 00:50:28	2.83	4.109
2019-11-28 00:51:28	2.88	4.115
2019-11-28 00:52:28	2.881	4.118
2019-11-28 00:53:28	2.863	4.132
2019-11-28 00:54:28	2.833	4.132
2019-11-28 00:55:28	2.891	4.13
2019-11-28 00:56:28	2.885	4.142
2019-11-28 00:57:28	2.912	4.165
2019-11-28 00:58:28	2.886	4.167
2019-11-28 00:59:29	2.91	4.151
2019-11-28 01:00:28	2.898	4.162
2019-11-28 01:01:28	2.849	4.158
2019-11-28 01:02:28	2.938	4.145
2019-11-28 01:03:28	2.908	4.151
2019-11-28 01:04:28	2.873	4.163
2019-11-28 01:05:28	2.934	4.173
2019-11-28 01:06:28	2.913	4.182
2019-11-28 01:07:28	2.896	4.188
2019-11-28 01:08:28	2.944	4.19
2019-11-28 01:09:28	2.882	4.197
2019-11-28 01:10:28	2.935	4.198
2019-11-28 01:11:28	2.867	4.207
2019-11-28 01:12:28	2.901	4.208
2019-11-28 01:13:28	2.941	4.203
2019-11-28 01:14:28	2.943	4.196
2019-11-28 01:15:28	2.977	4.204
2019-11-28 01:16:28	2.992	4.218
2019-11-28 01:17:28	2.937	4.228
2019-11-28 01:18:29	2.978	4.234
2019-11-28 01:19:29	2.942	4.238
2019-11-28 01:20:28	2.965	4.24
2019-11-28 01:21:28	2.952	4.24
2019-11-28 01:22:28	3.03	4.242
2019-11-28 01:23:28	2.989	4.26
2019-11-28 01:24:28	3.002	4.275
2019-11-28 01:25:28	2.962	4.28
2019-11-28 01:26:29	3.003	4.279
2019-11-28 01:27:28	3.002	4.268
2019-11-28 01:28:29	2.996	4.268
2019-11-28 01:29:28	3.03	4.277
2019-11-28 01:30:28	2.996	4.288
2019-11-28 01:31:28	3.033	4.293
2019-11-28 01:32:28	3.031	4.299
2019-11-28 01:33:27	2.963	4.298
2019-11-28 01:34:27	3.07	4.29
2019-11-28 01:35:27	3.057	4.302
2019-11-28 01:36:27	3.038	4.317
2019-11-28 01:37:27	3.057	4.323
2019-11-28 01:38:27	3.048	4.325
2019-11-28 01:39:28	3.044	4.327
2019-11-28 01:40:27	3.06	4.326
2019-11-28 01:41:27	3.097	4.337
2019-11-28 01:42:27	3.046	4.345
2019-11-28 01:43:27	3.066	4.346
2019-11-28 01:44:27	3.078	4.353
2019-11-28 01:45:27	3.078	4.358
2019-11-28 01:46:27	3.126	4.351
2019-11-28 01:47:27	3.105	4.355
2019-11-28 01:48:28	3.049	4.365
2019-11-28 01:49:28	3.086	4.366
2019-11-28 01:50:27	3.081	4.37
2019-11-28 01:51:27	3.119	4.374
2019-11-28 01:52:27	3.12	4.379
2019-11-28 01:53:27	3.075	4.378
2019-11-28 01:54:27	3.118	4.372
2019-11-28 01:55:27	3.124	4.37
2019-11-28 01:56:27	3.071	4.362
2019-11-28 01:57:27	3.076	4.365
2019-11-28 01:58:27	3.135	4.368
2019-11-28 01:59:28	3.095	4.375
2019-11-28 02:00:27	3.168	4.381
2019-11-28 02:01:27	3.097	4.38
2019-11-28 02:02:27	3.119	4.376
2019-11-28 02:03:30	3.118	4.382
2019-11-28 02:04:27	3.15	4.38
2019-11-28 02:05:28	3.114	4.383
2019-11-28 02:06:27	3.108	4.387
2019-11-28 02:07:28	3.159	4.392
2019-11-28 02:08:28	3.189	4.4
2019-11-28 02:09:28	3.154	4.409
2019-11-28 02:10:27	3.131	4.403
2019-11-28 02:11:27	3.156	4.406
2019-11-28 02:12:27	3.125	4.403
2019-11-28 02:13:28	3.159	4.405
2019-11-28 02:14:27	3.118	4.416
2019-11-28 02:15:27	3.172	4.421
2019-11-28 02:16:28	3.156	4.417
2019-11-28 02:17:28	3.163	4.429
2019-11-28 02:18:28	3.174	4.424
2019-11-28 02:19:28	3.179	4.428
2019-11-28 02:20:27	3.161	4.427
2019-11-28 02:21:27	3.166	4.432
2019-11-28 02:22:27	3.196	4.443
2019-11-28 02:23:27	3.205	4.45
2019-11-28 02:24:27	3.138	4.453
2019-11-28 02:25:27	3.168	4.444
2019-11-28 02:26:28	3.144	4.438
2019-11-28 02:27:28	3.114	4.437
2019-11-28 02:28:28	3.199	4.433
2019-11-28 02:29:28	3.138	4.444
2019-11-28 02:30:27	3.167	4.445
2019-11-28 02:31:27	3.175	4.451
2019-11-28 02:32:27	3.193	4.458
2019-11-28 02:33:28	3.196	4.462
2019-11-28 02:34:28	3.171	4.454
2019-11-28 02:35:28	3.148	4.453
2019-11-28 02:36:28	3.184	4.453
2019-11-28 02:37:27	3.171	4.443
2019-11-28 02:38:28	3.147	4.452
2019-11-28 02:39:28	3.218	4.45
2019-11-28 02:40:27	3.166	4.459
2019-11-28 02:41:27	3.15	4.459
2019-11-28 02:42:28	3.207	4.451
2019-11-28 02:43:28	3.143	4.452
2019-11-28 02:44:27	3.165	4.435
2019-11-28 02:45:28	3.187	4.437
2019-11-28 02:46:28	3.208	4.445
2019-11-28 02:47:27	3.155	4.452
2019-11-28 02:48:27	3.139	4.451
2019-11-28 02:49:28	3.251	4.45
2019-11-28 02:50:27	3.171	4.452
2019-11-28 02:51:27	3.192	4.459
2019-11-28 02:52:27	3.202	4.462
2019-11-28 02:53:28	3.2	4.462
2019-11-28 02:54:27	3.19	4.459
2019-11-28 02:55:28	3.211	4.462
2019-11-28 02:56:28	3.233	4.466
2019-11-28 02:57:28	3.169	4.464
2019-11-28 02:58:28	3.15	4.464
2019-11-28 02:59:28	3.192	4.464
