Time (UTC)	prs(m)	rad(m)
2019-11-28 00:00:47	2.312	4.961
2019-11-28 00:01:47	2.335	4.969
2019-11-28 00:02:47	2.36	4.977
2019-11-28 00:03:47	2.35	5.001
2019-11-28 00:04:47	2.33	4.981
2019-11-28 00:05:47	2.367	5.005
2019-11-28 00:06:47	2.383	5.018
2019-11-28 00:07:47	2.366	5.027
2019-11-28 00:08:47	2.391	5.035
2019-11-28 00:09:47	2.368	5.02
2019-11-28 00:10:47	2.345	5.022
2019-11-28 00:11:47	2.419	5.048
2019-11-28 00:12:47	2.395	5.054
2019-11-28 00:13:47	2.436	5.046
2019-11-28 00:14:47	2.391	5.066
2019-11-28 00:15:47	2.41	5.052
2019-11-28 00:16:47	2.41	5.06
2019-11-28 00:17:47	2.425	5.062
2019-11-28 00:18:47	2.428	5.075
2019-11-28 00:19:47	2.438	5.063
2019-11-28 00:20:47	2.425	5.087
2019-11-28 00:21:47	2.469	5.092
2019-11-28 00:22:47	2.463	5.086
2019-11-28 00:23:47	2.407	5.099
2019-11-28 00:24:47	2.439	5.072
2019-11-28 00:25:47	2.502	5.094
2019-11-28 00:26:47	2.462	5.132
2019-11-28 00:27:47	2.496	5.107
2019-11-28 00:28:47	2.491	5.108
2019-11-28 00:29:47	2.546	5.117
2019-11-28 00:30:47	2.472	5.128
2019-11-28 00:31:47	2.536	5.177
2019-11-28 00:32:47	2.562	5.149
2019-11-28 00:33:47	2.512	5.14
2019-11-28 00:34:47	2.477	5.16
2019-11-28 00:35:47	2.489	5.184
2019-11-28 00:36:47	2.514	5.178
2019-11-28 00:37:47	2.566	5.179
2019-11-28 00:38:47	2.542	5.168
2019-11-28 00:39:47	2.596	5.182
2019-11-28 00:40:47	2.588	5.201
2019-11-28 00:41:47	2.52	5.24
2019-11-28 00:42:47	2.591	5.218
2019-11-28 00:43:47	2.547	5.24
2019-11-28 00:44:47	2.589	5.202
2019-11-28 00:45:47	2.61	5.244
2019-11-28 00:46:47	2.62	5.225
2019-11-28 00:47:47	2.634	5.23
2019-11-28 00:48:47	2.576	5.239
2019-11-28 00:49:47	2.575	5.253
2019-11-28 00:50:47	2.588	5.271
2019-11-28 00:51:47	2.646	5.246
2019-11-28 00:52:47	2.625	5.24
2019-11-28 00:53:47	2.628	5.254
2019-11-28 00:54:47	2.613	5.277
2019-11-28 00:55:47	2.606	5.311
2019-11-28 00:56:47	2.627	5.305
2019-11-28 00:57:47	2.669	5.29
2019-11-28 00:58:47	2.625	5.288
2019-11-28 00:59:47	2.689	5.292
2019-11-28 01:00:47	2.685	5.33
2019-11-28 01:01:47	2.664	5.355
2019-11-28 01:02:47	2.731	5.292
2019-11-28 01:03:47	2.683	5.293
2019-11-28 01:04:47	2.645	5.34
2019-11-28 01:05:47	2.696	5.328
2019-11-28 01:06:47	2.66	5.35
2019-11-28 01:07:47	2.696	5.346
2019-11-28 01:08:47	2.734	5.336
2019-11-28 01:09:47	2.714	5.326
2019-11-28 01:10:47	2.689	5.332
2019-11-28 01:11:47	2.678	5.349
2019-11-28 01:12:47	2.755	5.359
2019-11-28 01:13:49	2.748	5.346
2019-11-28 01:14:47	2.717	5.378
2019-11-28 01:15:47	2.746	5.346
2019-11-28 01:16:47	2.758	5.374
2019-11-28 01:17:47	2.724	5.376
2019-11-28 01:18:47	2.72	5.379
2019-11-28 01:19:47	2.714	5.381
2019-11-28 01:20:47	2.75	5.387
2019-11-28 01:21:47	2.763	5.389
2019-11-28 01:22:47	2.772	5.395
2019-11-28 01:23:47	2.783	5.4
2019-11-28 01:24:47	2.793	5.425
2019-11-28 01:25:47	2.806	5.44
2019-11-28 01:26:47	2.757	5.436
2019-11-28 01:27:47	2.815	5.45
2019-11-28 01:28:47	2.808	5.427
2019-11-28 01:29:47	2.798	5.445
2019-11-28 01:30:47	2.795	5.439
2019-11-28 01:31:47	2.772	5.427
2019-11-28 01:32:47	2.743	5.428
2019-11-28 01:33:47	2.804	5.45
2019-11-28 01:34:47	2.779	5.436
2019-11-28 01:35:47	2.77	5.426
2019-11-28 01:36:47	2.869	5.455
2019-11-28 01:37:47	2.852	5.446
2019-11-28 01:38:47	2.901	5.485
2019-11-28 01:39:47	2.858	5.491
2019-11-28 01:40:47	2.852	5.473
2019-11-28 01:41:47	2.806	5.462
2019-11-28 01:42:47	2.889	5.488
2019-11-28 01:43:47	2.864	5.459
2019-11-28 01:44:47	2.86	5.456
2019-11-28 01:45:47	2.883	5.471
2019-11-28 01:46:47	2.874	5.494
2019-11-28 01:47:47	2.888	5.514
2019-11-28 01:48:47	2.864	5.521
2019-11-28 01:49:47	2.896	5.516
2019-11-28 01:50:47	2.908	5.5
2019-11-28 01:51:47	2.862	5.52
2019-11-28 01:52:47	2.863	5.523
2019-11-28 01:53:47	2.848	5.543
2019-11-28 01:54:47	2.858	5.555
2019-11-28 01:55:47	2.888	5.548
2019-11-28 01:56:47	2.926	5.531
2019-11-28 01:57:47	2.922	5.519
2019-11-28 01:58:47	2.913	5.513
2019-11-28 01:59:47	2.939	5.539
2019-11-28 02:00:47	2.907	5.563
2019-11-28 02:01:47	2.899	5.567
2019-11-28 02:02:47	2.918	5.561
2019-11-28 02:03:47	2.912	5.538
2019-11-28 02:04:47	2.857	5.539
2019-11-28 02:05:47	2.943	5.545
2019-11-28 02:06:47	2.958	5.573
2019-11-28 02:07:47	2.878	5.562
2019-11-28 02:08:47	2.953	5.549
2019-11-28 02:09:47	2.944	5.555
2019-11-28 02:10:47	2.953	5.574
2019-11-28 02:11:47	2.953	5.6
2019-11-28 02:12:47	2.937	5.583
2019-11-28 02:13:47	2.927	5.568
2019-11-28 02:14:47	2.935	5.58
2019-11-28 02:15:47	2.979	5.599
2019-11-28 02:16:47	2.963	5.567
2019-11-28 02:17:47	2.912	5.581
2019-11-28 02:18:47	2.896	5.572
2019-11-28 02:19:47	2.941	5.595
2019-11-28 02:20:47	2.98	5.608
2019-11-28 02:21:47	2.964	5.606
2019-11-28 02:22:47	2.966	5.585
2019-11-28 02:23:47	2.932	5.598
2019-11-28 02:24:47	2.989	5.557
2019-11-28 02:25:47	2.998	5.606
2019-11-28 02:26:47	2.91	5.591
2019-11-28 02:27:47	2.941	5.621
2019-11-28 02:28:47	2.997	5.632
2019-11-28 02:29:48	2.96	5.603
2019-11-28 02:30:47	2.976	5.617
2019-11-28 02:31:47	2.966	5.625
2019-11-28 02:32:47	2.987	5.609
2019-11-28 02:33:47	2.918	5.597
2019-11-28 02:34:47	2.971	5.599
2019-11-28 02:35:47	3.04	5.613
2019-11-28 02:36:47	3.01	5.614
2019-11-28 02:37:47	2.981	5.607
2019-11-28 02:38:47	2.98	5.641
2019-11-28 02:39:47	2.929	5.627
2019-11-28 02:40:47	2.994	5.639
2019-11-28 02:41:47	2.975	5.573
2019-11-28 02:42:47	2.952	5.577
2019-11-28 02:43:47	3.008	5.618
2019-11-28 02:44:47	3.002	5.611
2019-11-28 02:45:47	2.867	5.587
2019-11-28 02:46:47	2.902	5.583
2019-11-28 02:47:47	3.003	5.61
2019-11-28 02:48:48	2.967	5.637
2019-11-28 02:49:47	2.919	5.6
2019-11-28 02:50:47	2.979	5.616
2019-11-28 02:51:47	2.961	5.603
2019-11-28 02:52:47	2.959	5.594
2019-11-28 02:53:47	2.931	5.607
2019-11-28 02:54:47	2.997	5.631
2019-11-28 02:55:47	2.978	5.65
2019-11-28 02:56:47	3.01	5.636
2019-11-28 02:57:48	2.95	5.618
2019-11-28 02:58:48	2.968	5.638
2019-11-28 02:59:48	3.059	5.663
2019-11-28 03:00:48	2.964	5.639
2019-11-28 03:01:47	2.952	5.648
2019-11-28 03:02:47	2.974	5.635
2019-11-28 03:03:48	2.94	5.615
2019-11-28 03:04:47	2.99	5.636
2019-11-28 03:05:47	2.956	5.629
2019-11-28 03:06:48	2.988	5.603
2019-11-28 03:07:48	2.985	5.622
2019-11-28 03:08:48	2.976	5.644
2019-11-28 03:09:48	2.969	5.605
2019-11-28 03:10:47	2.963	5.632
2019-11-28 03:11:48	2.953	5.576
2019-11-28 03:12:47	2.893	5.577
2019-11-28 03:13:48	3.018	5.614
2019-11-28 03:14:48	2.992	5.609
2019-11-28 03:15:48	3.023	5.581
2019-11-28 03:16:48	2.958	5.58
2019-11-28 03:17:48	2.952	5.637
2019-11-28 03:18:48	2.96	5.625
2019-11-28 03:19:48	2.934	5.624
2019-11-28 03:20:47	2.977	5.589
2019-11-28 03:21:48	2.909	5.607
2019-11-28 03:22:47	2.995	5.588
2019-11-28 03:23:48	2.981	5.586
2019-11-28 03:24:48	2.926	5.597
2019-11-28 03:25:48	2.926	5.583
2019-11-28 03:26:48	2.947	5.56
2019-11-28 03:27:48	2.98	5.614
2019-11-28 03:28:48	2.927	5.598
2019-11-28 03:29:48	2.913	5.63
2019-11-28 03:30:48	2.993	5.646
2019-11-28 03:31:48	2.957	5.578
2019-11-28 03:32:48	3.026	5.613
2019-11-28 03:33:48	2.975	5.594
2019-11-28 03:34:50	2.915	5.572
2019-11-28 03:35:48	2.955	5.606
2019-11-28 03:36:48	3.011	5.574
2019-11-28 03:37:48	2.976	5.603
2019-11-28 03:38:48	3.007	5.615
2019-11-28 03:39:48	2.998	5.619
2019-11-28 03:40:47	2.997	5.585
2019-11-28 03:41:48	2.93	5.606
2019-11-28 03:42:47	2.971	5.597
2019-11-28 03:43:48	3.024	5.542
2019-11-28 03:44:48	2.921	5.566
2019-11-28 03:45:48	2.938	5.593
2019-11-28 03:46:48	2.903	5.532
2019-11-28 03:47:48	2.947	5.563
2019-11-28 03:48:48	3.029	5.591
2019-11-28 03:49:48	2.86	5.585
2019-11-28 03:50:47	2.928	5.578
2019-11-28 03:51:48	2.917	5.547
2019-11-28 03:52:48	2.854	5.553
2019-11-28 03:53:48	2.885	5.489
2019-11-28 03:54:48	2.96	5.526
2019-11-28 03:55:48	2.844	5.544
2019-11-28 03:56:48	2.869	5.55
2019-11-28 03:57:48	2.896	5.553
2019-11-28 03:58:48	2.944	5.545
2019-11-28 03:59:48	2.923	5.559
2019-11-28 04:00:47	2.913	5.533
2019-11-28 04:01:48	2.895	5.554
2019-11-28 04:02:48	2.953	5.514
2019-11-28 04:03:48	2.948	5.477
2019-11-28 04:04:48	2.893	5.542
2019-11-28 04:05:48	2.968	5.514
2019-11-28 04:06:48	2.923	5.453
2019-11-28 04:07:48	2.915	5.494
2019-11-28 04:08:48	2.877	5.494
2019-11-28 04:09:48	2.871	5.523
2019-11-28 04:10:48	2.823	5.482
2019-11-28 04:11:48	2.838	5.473
2019-11-28 04:12:48	2.88	5.491
2019-11-28 04:13:48	2.909	5.474
2019-11-28 04:14:48	2.829	5.494
2019-11-28 04:15:48	2.77	5.488
2019-11-28 04:16:48	2.899	5.468
2019-11-28 04:17:48	2.844	5.449
2019-11-28 04:18:48	2.857	5.475
2019-11-28 04:19:48	2.848	5.441
2019-11-28 04:20:48	2.858	5.473
2019-11-28 04:21:48	2.803	5.493
2019-11-28 04:22:48	2.759	5.425
2019-11-28 04:23:48	2.828	5.417
2019-11-28 04:24:48	2.843	5.445
2019-11-28 04:25:48	2.771	5.443
2019-11-28 04:26:48	2.799	5.443
2019-11-28 04:27:48	2.752	5.439
2019-11-28 04:28:48	2.841	5.427
2019-11-28 04:29:48	2.781	5.381
2019-11-28 04:30:47	2.834	5.42
2019-11-28 04:31:48	2.816	5.427
2019-11-28 04:32:48	2.78	5.393
2019-11-28 04:33:48	2.724	5.407
2019-11-28 04:34:48	2.769	5.37
2019-11-28 04:35:48	2.835	5.388
2019-11-28 04:36:48	2.794	5.422
2019-11-28 04:37:48	2.869	5.373
2019-11-28 04:38:48	2.752	5.416
2019-11-28 04:39:48	2.743	5.372
2019-11-28 04:40:48	2.747	5.381
2019-11-28 04:41:48	2.745	5.373
2019-11-28 04:42:48	2.764	5.412
2019-11-28 04:43:48	2.739	5.343
2019-11-28 04:44:48	2.739	5.334
2019-11-28 04:45:48	2.722	5.382
2019-11-28 04:46:48	2.736	5.37
2019-11-28 04:47:48	2.683	5.342
2019-11-28 04:48:48	2.599	5.346
2019-11-28 04:49:48	2.728	5.334
2019-11-28 04:50:48	2.701	5.313
2019-11-28 04:51:48	2.719	5.324
2019-11-28 04:52:48	2.642	5.301
2019-11-28 04:53:48	2.664	5.322
2019-11-28 04:54:48	2.693	5.304
2019-11-28 04:55:48	2.662	5.292
2019-11-28 04:56:48	2.678	5.297
2019-11-28 04:57:48	2.656	5.309
2019-11-28 04:58:48	2.644	5.262
2019-11-28 04:59:48	2.646	5.283
2019-11-28 05:00:48	2.678	5.272
2019-11-28 05:01:48	2.67	5.283
2019-11-28 05:02:48	2.651	5.25
2019-11-28 05:03:48	2.573	5.253
2019-11-28 05:04:48	2.644	5.274
